cadena,nom_producte,format,preu,preu_volum,info_prod,marca,direccio,latitud,longitud,ingredients,dades_nutri,instr
BonPreu,L'OR Càpsules de cafè Papua New Guinea,10 per paquet,3.40,,Càpsules de cafè Papua New Guinea L'Or Espresso en capsa de 10 càpsules,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè molt de torrat natural.,Conservar en un lloc fresc i sec.,NULL
BonPreu,MARCILLA Càpsules de cafè Intens,20 per paquet,5.19,,Càpsules de cafè Intens Marcilla en capsa de 20 càpsules,MARCILLA,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè molt de torrat natural.,NULL,NULL
BonPreu,DOLCE GUSTO Càpsules de cafè Espresso Intenso,16 per paquet,4.25,,Càpsules de cafè Espresso Intenso Dolce Gusto en capsa de 16 cápsules,DOLCE GUSTO,"08950,, ESPLUGUES LLOBREGAT",41.37604896422147,41.37604896422147,INGREDIENTS: cafè molt de torrada natural.,"Conservar en lloc net, fresc i sec.",NULL
BonPreu,L'OR Càpsules de cafè Ristretto,20 per paquet,6.55,,Càpsules de cafè Ristretto L'Or Espresso en capsa de 20 càpsules,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,INGREDIENTS: cafè molt de torrada natural.,"Conservar en un lloc net, fresc i sec.",NULL
BonPreu,BONPREU Càpsules de cafè exprés intens,16 per paquet,2.99,,Càpsules de cafè exprés intens Bonpreu en capsa de 16 cápsules,BONPREU,"08508, Les Masies de VoltregàCàpsules de cafè compatibles amb màquines de cafè Nescafé Dolce Gusto (marques d'una companyia no relacionada amb Bon Preu SAU)",0.0,0.0,INGREDIENTS: cafè aràbica 100%.,Conserveu-les en un lloc fresc i sec.Introduïu la càpsula a la cafetera compatible amb les càpsules. Recomanem usar una tassa de 50 ml per a una millor degustació del cafè. En cafeteres automàtiques recomanem que programeu la dosificació a 2 punts sobre el total de 7.NOTA DE TAST: cafè 100% de la varietat aràbica amb un punt de torrat intens. Desprèn accentuades notes aromàtiques d'herbes i un toc suau de fusta. Exprés de sabor prolongat i agradable postgust.,NULL
BonPreu,DOLCE GUSTO Càpsules de cafè Ristretto,16 per paquet,4.25,,Càpsules de cafè Ristretto Dolce Gusto Bonka en capsa de 16 càpsules,DOLCE GUSTO,"08950,, ESPLUGUES LLOBREGAT",41.37604896422147,41.37604896422147,INGREDIENTS: aràbica i robusta.,"Conservar en lloc net, fresc i sec.",NULL
BonPreu,DOLCE GUSTO Càpsules de cafè amb llet,16 per paquet,4.25,,Càpsules de cafè amb llet Dolce Gusto en capsa de 16 càpsules,DOLCE GUSTO,"08950,, ESPLUGUES LLOBREGAT",41.37604896422147,41.37604896422147,"INGREDIENTS: llet en pols (73,7%), cafè soluble (24%), estabilitzadors (fosfat dipotàssic, citrat trisòdic), emulgent (lecitina de soja)."," per 100 g  Valor energètic  1670 kJ / 400 Kcal  Greixos  20 g  dels quals saturats  12,5 g  Hidrats de carboni  29,4 g dels quals sucres  29,1 g  Proteïnes  21,2 g  Sal  1,03 g",Conservar en lloc fresc i sec.
BonPreu,DOLCE GUSTO Càpsules de cafè descafeïnat intens,16 per paquet,4.25,,Càpsules de cafè descafeïnat intens Dolce Gusto en capsa de 16  càpsules,DOLCE GUSTO,"08950,, ESPLUGUES LLOBREGAT",41.37604896422147,41.37604896422147,INGREDIENTS: cafè molt de torrat natural descafeïnat.,"per 100 g:Valors energètics  1094 kJ / 267 kcalGreixos  17,1 gdels quals saturats  7,6 gHidrats de carboni  0,2 gdels quals sucres  0,2 gProteïnes  8,1 gFibra alimentària  38,7 gSal  0,01 g","Conservar en lloc net, fresc i sec."
BonPreu,L'OR Càpsules de cafè Onyx,20 per paquet,6.55,,Càpsules de cafè Onyx l'Or Espresso en capsa de 20 càspules,L'OR,"08019,, BARCELONA",41.41046934690756,41.41046934690756,Cafè mòlt de torrada natural.,"Conservar en un lloc net, fresc i sec.",NULL
BonPreu,DOLCE GUSTO Càpsules de cafè Ristretto Ardenza,16 per paquet,4.25,,Càpsules de cafè Ristretto Ardenza Dolce Gusto en capsa de 16 càpsules,DOLCE GUSTO,"08950,, ESPLUGUES LLOBREGAT",41.37604896422147,41.37604896422147,INGREDIENTS: cafè molt de torrat natural.,"Conservar en un lloc net, fresc i sec.",NULL
