data,subcategoria,nom_producte,format,preu_euros,preu_volum,info_prod,marca,direccio,latitud,longitud,ingredients,dades_nutri,instr
20211022,Frescos,EL VENTERO Formatge tendre sense lactosa,0.14kg,2.09,,Formatge tendre El Ventero sense lactosa en safata de 140 grams,EL VENTERO,"02600,, VILLARROBLEDO",39.2681742,-2.6042132,"INGREDIENTS: llet pasteuritzada de vaca (71% min), cabra (7% min) i ovella (7% min), sal, clorur càlcic, ferments làctics i quall.Conté llet."," per 100 g  Valors energètics  1538 kJ / 371 kcal  Greixos  31 g  dels quals saturats  22 g  Hidrats de carboni  1,9 g  dels quals sucres  1,5 g  Proteïnes  21 g  Sal  1,3 g",Conservar entre 1º i 8ºC.Obrir 10 minuts abans de consumir.
20211022,Frescos,NOEL DELIZIAS Pernil cuit,0.11kg,1.99,,Pernil cuit Noel Delizias en safata de 110 grams,NOEL DELIZIAS,"17857,, STJOAN LES FONTS",0.0,0.0,"INGREDIENTS: pernil (92%), aigua, sal, antioxidants (lactat potàssic, ascorbat sòdic), xarop de glucosa, aromes, estabilitzant (carragenat), corrector d'acidesa (carbonat àcid de sodi), conservador (nitrit sòdic)."," per 100 g  Valor energètic  453kJ / 108 kcal  Greixos  3,5 g  dels quals saturats  1,2 g  Hidrats de carboni  <0,5 g dels quals  sucres  <0,5 g  Proteïnes  19 g  Sal  1,8 g",Obrir 10 minuts abans de consumir. Un cop obert l'envàs consumir en 48 hores.Mantenir refrigerat entre 0 º C i 7ºC.
20211022,Frescos,LA SELVA Pernil cuit extra a rotllets,0.09kg,1.80,,Pernil cuit extra a rotllets La Selva en envàs de 90 grams,LA SELVA,"17459,, CAMPLLONG",41.8948831,2.8309625,"INGREDIENTS: pernil de porc, aigua, sal i sal potàssica, xarop de glucosa, dextrosa, gelificants (E407, E410), estabilitzants (E451, E452), extractes d'espècies, conservadors (E262, E243, E250), sucre, antioxidant ( E316), aromes.","per 100 g:Valors energètics  426 kJ / 102 kcalGreixos  2,1 gdels quals saturats  0,7 gHidrats de carboni  1,5 gdels quals sucres  1,5 gProteïnes  19,2 gSal  2,0 g",Conservar entre 0 i 5ºC.
20211022,Frescos,EXENTIS Fuet extra,0.09kg,2.49,,Fuet extra Exentis en sobre de 90 grams,EXENTIS,"08553,, SEVA",41.838397025,2.2798760730362635,"INGREDIENTS: carns i cansalada de porc, sal, dextrina, sucre, espècies, conservador (nitrat potàssic), dextrosa, antioxidants (ascorbat sòdic, citrats de sodi), aroma."," per 100 g  Valor energètic  446,5 kcal / 1856,6 kJ  Greixos  32,9 g  dels quals saturats  12,8 g  Hidrats de carboni  3,4 g  dels quals sucres  1,8 g  Proteïnes  34,3 g  Sal  4,3 g",Obrir l'envàs 20 minuts abans de consumir.Conservar entre 2º i 8ºC.
20211022,Frescos,EXENTIS Llonganissa extra Exentis,0.09kg,2.19,,Llonganissa extra Exentis en sobre de 90 grams,EXENTIS,"08553,, SEVA",41.838397025,2.2798760730362635,"INGREDIENTS: carn de porc, dextrina, sal, sucre, espècies, conservador (nitrat potàssic), dextrosa, antioxidants (ascorbat de sodi, citrats de sodi), aroma."," per 100 g  Valor energètic  425 kcal / 1766 kJ  Greixos  32,5 g  saturats  12,2 g  Hidrats de carboni  3,9 g  sucres  1,8 g  Proteïnes  29,3 g  Sal  3,8 g",Obrir l'envàs 20 minuts abans de consumir.Conservar entre 2º i 8ºC.
20211022,Frescos,NOEL DELIZIAS Pit d'indiot,0.11kg,1.99,,Pit d'indiot Noel Delizias en safata de 110 grams,NOEL DELIZIAS,"17857,, STJOAN LES FONTS",0.0,0.0,"INGREDIENTS: pit de gall dindi (70%), aigua, estabilitzants (sorbitol, carragenat, tripolifosfat), sal, antioxidants (lactat potàssic, eritorbat sòdic), xarop de glucosa, fibra vegetal, aroma, conservadors (etil Lauriol arginat, nitrit sòdic), goma garrofí."," per 100 g  Valor energètic  361 kJ / 85 kcal  Greixos  1,8 g  dels quals saturats  0,5 g  Hidrats de carboni  1,3 g  dels quals sucres  <0,5 g  Proteïnes  16 g  Sal  2,5 g",Obrir 10 minuts abans de consumir. Un cop obert l'envàs consumir en 48 hores.Mantenir refrigerat entre 0 º C i 7ºC.
20211022,Frescos,EL POZO Pit d'indiot reduït en sal,0.09kg,1.00,,Pit d'indiot reduït en sal El Pozo BienStar en sobre de 85 grams,EL POZO,"30840,, ALHAMA DE MURCIA",37.8515145,-1.4251045,"INGREDIENTS: pit d'indiot (70%), aigua, proteïna de soja, xarop de glucosa de blat de moro, aromes, clorur potàssic, sucre, estabilitzants (E-451, E-407 i E-420), antioxidants (E-316 i E-331), conservador (E-250).Conté proteïna de llet, ous i api."," per 100 g  Valor energètic  312,6 kJ / 74 kcal  Greixos  0,5 g  dels quals saturats  0,1 g  Hidrats de carboni  1,3 g  dels quals sucres  1 g  Proteïnes  16 g  Sal  1,4 g",No necessita preparació prèvia al seu consum.Conservar refrigerat entre 0 i 5ºC.
20211022,Frescos,KAIKU Formatge emmental ratllat s/lactosa,0.1kg,1.39,,Formatge emmental ratllat Kaiku sense lactosa en bossa de 100 grams,KAIKU,"20009,, SAN SEBASTIAN",43.3224219,-1.9838889,"INGREDIENTS: llet de vaca, sal, ferments làctics i quall."," per 100 g  Valor energètic  1603 kJ / 386 kcal  Greixos  30 g  dels quals saturats  17 g  Hidrats de carboni  <0,01 g  dels quals sucres  <0,01 g  Proteïnes  29 g  Sal  0,7 g",Conservar en fred (entre 1ºC i 8ºC).
20211022,Frescos,SCHARA Salsitxes frankfurt,0.16kg,2.57,,Salsitxes frankfurt Schara en envàs de 2 unitats,SCHARA,"08040,, BARCELONA",41.33131387464597,2.1372326021491044,"INGREDIENTS: carn de porc 87% (origen Espanya), aigua, sal, espècies, estabilitzador: di i polifosfats, dextrosa, antioxidant: àcid ascòrbic i conservant: nitrit sòdic.","per 100 g:Valors energètics  990,30 kJ / 238,80 kcalGreixos  19,80 gdels quals saturats  6,90 gHidrats de carboni  0,80 gdels quals sucres  0,75 gProteïnes  14,36 gSal  1,85 g",Consum previ escalfament. Cuinar abans de consumir.Es recomana escalfar-les a la graella o escaldar 5-6 minuts en aigua molt calenta.Conservar refrigerat entre 0º i 5ºC. Un cop obert consumir en 24 hores.
20211022,Frescos,EXENTIS Snack fuet extra,0.05kg,1.15,,Snack fuet extra Urban Picnic Exentis en terrina de 50 grams,EXENTIS,"08553,, SEVA",41.838397025,2.2798760730362635,"INGREDIENTS: carns i cansalada de porc, sal, dextrina, sucre, espècies, conservador (nitrat potàssic), dextrosa, antioxidants (ascorbat sòdic, citrat de sodi), aroma."," per 100 g  Valor energètic  1857 kJ / 446,5 kcal  Greixos  32,9 g  saturats  12,8 g  Hidrats de carboni  3,4 g  sucres  1,8 g  Proteïnes  34,3 g  Sal  4,3 g",Conservar en lloc fresc i sec.
